hi,kn,te,domain
सुबह की मीटिंग कब है,ಬೆಳಗಿನ ಮೀಟಿಂಗ್ ಯಾವಾಗ,ఉదయం మీటింగ్ ఎప్పుడు,meeting
रिपोर्ट भेज दो,ವರದಿ ಕಳುಹಿಸಿ,రిపోర్ట్ పంపండి,work
कल डेडलाइन है,ನಾಳೆ ಡೆಡ್‌ಲೈನ್,రేపు డెడ్‌లైన్,deadline
थोड़ा इंतज़ार करो,ಸ್ವಲ್ಪ ಕಾಯಿರಿ,కొంచెం ఆగండి,general
क्या आप समझे,ನಿಮಗೆ ಅರ್ಥವಾಯಿತಾ,మీకు అర్థమైందా,clarification
फिर से बोलो,ಮತ್ತೊಮ್ಮೆ ಹೇಳಿ,ಮళ్ళೀ చెప్పండి,clarification
मेरा इंटरनेट स्लो है,ನನ್ನ ಇಂಟರ್ನೆಟ್ ಸ್ಲೋ ಆಗಿದೆ,నా ఇంటర్నెట్ స్లో గా ఉంది,tech
स्क्रीन शेयर करो,ಸ್ಕ್ರೀನ್ ಶೇರ್ ಮಾಡಿ,స్క్రీన్ షేర్ చేయండి,meeting
माइक म्यूट है,ಮೈಕ್ ಮ్యూಟ್ లో ఉంది,మైక్ మ్యూట్ లో ఉంది,tech
मैं 5 मिनट में आता हूं,ನಾನು 5 ನಿಮಿಷದಲ್ಲಿ ಬರುತ್ತೇನೆ,నేను 5 నిమిషాల్లో వస్తాను,absence
आज छुट्टी ले रहा हूं,ಇಂದು ರಜೆ ತೆಗೆದುಕೊಳ್ಳುತ್ತಿದ್ದೇನೆ,నేడు సెలవు తీసుకుంటున్నాను,leave
सैलरी कब आएगी,ಸಂಬಳ ಯಾವಾಗ ಬರುತ್ತದೆ,జీతం ఎప్పుడు వస్తుంది,HR
क्लाइंट कॉल है,ಕ್ಲೈಂಟ್ ಕಾಲ್ ಇದೆ,క్లయింట్ కాల్ ఉంది,meeting
प्रोजेक्ट अपडेट दो,ಪ್ರಾಜೆಕ್ಟ್ ಅಪ್ಡೇಟ್ ಕೊಡಿ,ప్రాజెక్ట్ అప్‌డేట్ ఇవ్వండి,work
ठीक है,ಸರಿ,ಸరే,agreement
नहीं समझा,ಅರ್ಥವಾಗಲಿಲ್ಲ,అర్థం కాలేదు,clarification
धन्यवाद,ಧನ್ಯವಾದಗಳು,ధన్యవాదాలు,thanks
आपसे बाद में बात करता हूं,ನಂತರ ಮಾತನಾಡುತ್ತೇನೆ,తరువాత మాట్లాడతాను,closing
मेल चेक करो,ಮೇಲ್ ಚೆಕ್ ಮಾಡಿ,మెయిల్ చెక్ చేయండి,work
टास्क पूरा हुआ,ಟಾಸ್ಕ್ ಮುಗಿದಿದೆ,టాస్క్ పూర్తయింది,work
